식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),식품중량(g)
된장찌개,46,4.44,3.38,1.63,0,318,100
김치찌개_참치,51,2.9,3.59,2.82,0.15,264,100
떡볶이_채소,258,57.06,3.12,1.88,1.97,269,100
부대찌개,246,20.54,11.72,12.98,0.36,478,200
닭볶음탕,111,8.52,11.91,3.22,0.42,376,100
오리불고기,145,9.05,6.75,9.05,6.29,467,100
순대,187,35.73,2.75,3.64,1.39,604,100
돼지갈비찜,194,7.44,13.29,12.32,0.13,478,100
소시지볶음,140,7.205,5.97,9.69,2.915,443.5,50
잡곡밥,146,29.33,5.3,0.87,0.32,3,100
